generation,best_fitness,mean_fitness,accuracy,neuron_count,synapse_count
805,0.75,0,0.5,5,3
806,0.75,0,0.5,5,3
807,0.75,0,0.5,5,3
808,0.75,0,0.5,5,3
809,0.75,0,0.5,5,3
810,0.75,0,0.5,5,3
811,0.75,0,0.5,5,3
812,0.75,0,0.5,5,3
813,0.75,0,0.5,5,3
814,0.75,0,0.5,5,3
815,0.75,0,0.5,5,3
816,0.75,0,0.5,5,3
817,0.75,0,0.5,5,3
818,0.75,0,0.5,5,3
819,0.75,0,0.5,5,3
820,0.75,0,0.5,5,3
821,0.75,0,0.5,5,3
822,0.75,0,0.5,5,3
823,0.75,0,0.5,5,3
824,0.75,0,0.5,5,3
825,0.75,0,0.5,5,3
826,0.75,0,0.5,5,3
827,0.75,0,0.5,5,3
828,0.75,0,0.5,5,3
829,0.75,0,0.5,5,3
830,0.75,0,0.5,5,3
831,0.75,0,0.5,5,3
832,0.75,0,0.5,5,3
833,0.75,0,0.5,5,3
834,0.75,0,0.5,5,3
835,0.75,0,0.5,5,3
836,0.75,0,0.5,5,3
837,0.75,0,0.5,5,3
838,0.75,0,0.5,5,3
839,0.75,0,0.5,5,3
840,0.75,0,0.5,5,3
841,0.75,0,0.5,5,3
842,0.75,0,0.5,5,3
843,0.75,0,0.5,5,3
844,0.75,0,0.5,5,3
845,0.75,0,0.5,5,3
846,0.75,0,0.5,5,3
847,0.75,0,0.5,5,3
848,0.75,0,0.5,5,3
849,0.75,0,0.5,5,3
850,0.75,0,0.5,5,3
851,0.75,0,0.5,5,3
852,0.75,0,0.5,5,3
